title,volume,year,floor,row,section,notes
London Journal of Medicine,Vol.1-4,,2nd Floor,Row V,,
London Journal of Psychological Medicine,Vol.3-6,1842-1887,2nd Floor,Row V,,
London Lancet,,,2nd Floor,Row V,,
London Medchanics Register,Vol.1-2,,2nd Floor,Row V,,
London Medical and Physical Journal,Vol.33-62/64-69,,2nd Floor,Row V,,
London Medical and Surgical Journal (Ryan),Vol.1-7/NS1-12,,2nd Floor,Row V,,
London Medical and Surgical Spectator,Vol.1-3,1913,2nd Floor,Row V,,
London Medical Brochure,,,2nd Floor,Row V,,
London Medical Examiner,Vol.1,,2nd Floor,Row V,,
London Medical Gazette,Vol.1-48,,2nd Floor,Row V,,
London Medical Record,Vol.1-15,,2nd Floor,Row V,,
London Medical Recorder,Vol.1-4,1814-1925,2nd Floor,Row V,,
London Medical Repository,,,2nd Floor,Row V,,
London Medical Repository and Review,Vol.1-5,"1860-1861,1902",2nd Floor,Row V,,
London Medical Review,,,2nd Floor,Row V,,
"London Medical, Surgical and Pharmaceutical Repository",Vol.1,1955,2nd Floor,Row V,,
London School of Hygiene & Tropical Medicine,v10,1955,5th Floor,Row O,5,
London School of Hygiene and Tropical Medicine,Vol.1-7,1922-1924,2nd Floor,Row V,,
London School of Hygiene and Tropical Medicine Collected Papers,,,2nd Floor,Row V,,
London School of Tropical Medicine Research Memoir (Series),Vol.3-6,1928-1930,2nd Floor,Row V,,
"London, Edingburg and Dublin Philosophical Magizine and Journal of Science",,1924-1925,2nd Floor,Row V,,
Long Island College Hospital Bulletin,,,2nd Floor,Row V,,
Long Island Medical Bulletin,Vol.9-11,,2nd Floor,Row V,,
Long Island Medical Journal,Vol.1-24,,2nd Floor,Row V,,
Long Islander Medical,Vol.12-21,,2nd Floor,Row V,,
Long Life,Vol.2,1952-60,2nd Floor,Row V,,
Longevita; Revista del Centro Nazionale di Gerontologia,v1-8 ,1952-1960,5th Floor,Row O,5,
Longevity(Madras),,,2nd Floor,Row V,,
Looking Ahead,Vol.1,1887,2nd Floor,Row V,,
L'Organe de la Confraternite,,,1st Floor,Row J,,
Los Angeles County Health News,Vol.1-5,,2nd Floor,Row V,,
Los Angeles Journal of Eclectic Medicine,Vol.2-5,,2nd Floor,Row V,,
Los Angeles Medical Journal,Vol.1-3,,2nd Floor,Row V,,
Los Angeles Polyclinic,Vol.1-3,1913-1933,2nd Floor,Row V,,
Los Angeles Senatorium,,1916,2nd Floor,Row V,,
L'Ospedale Meggiore,,1938,1st Floor,Row I,,
Lost and Found,,1913-1949,2nd Floor,Row V,,
L'Oto-Rhino-Laryngologie Internationale,,,1st Floor,Row J,,
Lotos,Vol.57-63/86,1972-88,2nd Floor,Row V,,
Lotta Contra La Tubercolosi Ele Malattie Polmonari Sociali,v42-58,1972-1988,5th Floor,Row O,5,
Lotta Contro La Tubercolosi,v20-41,1950-1971,5th Floor,Row O,5,
Lotta Contro la Tubercolosi,,1950-71,2nd Floor,Row V,,
Louisiana State Pharmaceutical Association,,,2nd Floor,Row V,,
Louisville Journal of Medicine and Surgery,Vol.1,,2nd Floor,Row V,,
Louisville Medical Gazette,Vol.1,,2nd Floor,Row V,,
Louisville Medical Journal,Vol.1,,2nd Floor,Row V,,
Louisville Medical Monthly,Vol.1-6,,2nd Floor,Row V,,
Louisville Medical News,Vol.1-20,,2nd Floor,Row V,,
Louisville Medical Reporter,Vol.1,,2nd Floor,Row V,,
Louisville Monthly Journal of Medicine and Surgery,Vol.6-23,,2nd Floor,Row V,,
Louisville Review,Vol.1,1967-74,2nd Floor,Row V,,
Louvain Medical,v86-93,1967-1974,5th Floor,Row O,5,
L'Ouvre Natinalle del' Infancie,,1961-66,1st Floor,Row I,,
Lovelace Clinic Review,v1-2,1961-1965,5th Floor,Row O,6,
Loyola Dental Journal,,,2nd Floor,Row V,,
Lucha Antituberculosa,Vol.2-6,,2nd Floor,Row V,,
Lucha Contra el Cancer,Vol.2-5,1939,2nd Floor,Row V,,
Lucha Sexual,,,2nd Floor,Row V,,
Lucina,Vol.1-6,,2nd Floor,Row V,,
Lues,Vol.1-25,1894-1899,2nd Floor,Row V,,
L'Ufficiale Sanitario Rivista D'Igiene e di Medicina Practica,,,Compact Shelving,Range 6,,
Luftfahrtmedizin,Vol.1-3/5-9,,2nd Floor,Row V,,
Luftfahrtmedizinische Abhandlungen,Vol.1-25,1952,2nd Floor,Row V,,
Lumen; Edicion Medica,v9,1952,5th Floor,Row O,6,
Lunds Lakaresallskaps Forhandlingar,,"1993, 1995-2001",2nd Floor,Row V,,
Lung,v154-180,2003-2005,5th Floor,Row W,3,Unbound Journals
Lung,,1976-2002,5th Floor,Row O,6,
Lung,v 181-183,1976-2002,AR,SHELF RANGE 6 - Side A,,
L'Union Medicale de la Louisiane,,1872-1949,Compact Shelving,Range 6,,
L'Union Medicale du Canada,,,Compact Shelving,Range 6,,
Lutte Antituberculeuse,Vol.2-7,,2nd Floor,Row V,,
Lutte Contre Le Cancer,v37-49,1959-1972,5th Floor,Row O,6,
Lutte Contre Le Cancer,v198-229,1973-1980,5th Floor,Row O,6,
Lutte Contre le Cancer,Vol.1-17/25-26,1959-72,2nd Floor,Row V,,
Luzerne County Medical Society Bulletin,v22(no.1-5),1950-1951,5th Floor,Row O,6,
Luzerne County Medical Society Bulletin,Vol.3-15/17-18/20-21,1950-51,2nd Floor,Row V,,
Lying-In,v1,1968,5th Floor,Row O,6,
Lymphatologia,v2,1953-1955,5th Floor,Row O,6,
Lymphokine Research,v1-13,1982-1994,5th Floor,Row O,6,
Lyon Chirurgical,v45-52,1957-1981,5th Floor,South Wall,,"on the floor, from Left to Right"
Lyon Chirurgical,Vol.1-77,1950-1956,5th Floor,Row O,6,
Lyon Chirurgical,v53-77,1950-56,2nd Floor,Row V,,
Lyon Medical,,1950-84,2nd Floor,Row V,,
Lyon Medical,Tome183-252,1950-1984,5th Floor,Row O,6,
M.S. News,v 1,1957,5th Floor,Row T,?,not on self
Maaddschrift voor Kindergeneeskunde,Vol.1-17,,2nd Floor,Row V,,
Maandblad Van de Nederlandsche Vereeniging van Huisartsen,Vol.11-16,1950,2nd Floor,Row V,,
Maandblad Voor de Geestelijke Volksgezondhand,v5,1950,5th Floor,Row O,7,
Maandblad Voor de Geestelijke Volksgezondheid,Vol.1-3,1950-75,2nd Floor,Row V,,
Maandscrift Voor Kindergeneesk unde,v18-43,1950-1975,5th Floor,Row O,7,
Maanedlige Meddelelser (Kobenhan),,1951-52,2nd Floor,Row V,,
Maanedsskruft For Praktisk Laegegerning OG Social Medicin,v29-30,1951-1952,5th Floor,Row O,7,
MAAS Journal of Islamic Science,v1-5,1985-1989,5th Floor,Row O,7,
Madaus Jahresbericht,v6,1952,5th Floor,Row O,7,
Madison County Doctor,Vol.36-37,1956-57,2nd Floor,Row V,,
Madjalah Kedokteran Indonesia,v1-7,1956-1957,5th Floor,Row O,7,
Madjalah Kesehatan Angkalan Perang,v6,1956,5th Floor,Row O,7,
Madjalah Persatuan Dokter Ggi Indonesa,v11-12,1961-1962,5th Floor,Row O,7,
Madras Medical College Magazine,v33-34,1956-1957,5th Floor,Row O,7,
Madras Medical College Magazine,Vol.10,1956-57,2nd Floor,Row V,,
Madras Medical Journal,Vol.1N3,,2nd Floor,Row V,,
Madras Medical Journal,Vol.3-5/9/13-19,,2nd Floor,Row V,,
Madras Quarterly Journal of Medical Science,Vol.1/3-11,,2nd Floor,Row V,,
Madras Quarterly Medical Journal,Vol.1-6,,2nd Floor,Row V,,
Magazin der Auslaendischen Literatur der Gesammten Heilkunde,Vol.1-30,,2nd Floor,Row V,,
Magazin fuer die Gesammte Heilkunde,Vol.1-66,,2nd Floor,Row V,,
Magazin fuer die Neusten Erfahrungen,Vol.1-6,,2nd Floor,Row V,,
Magazin fuer die Staatsarzneikunde,Vol.1-5,,2nd Floor,Row V,,
Magazin fuer Physiolocische und Klinische Arzneimittellhere und Toxiklogie,Vol.1-4,,2nd Floor,Row V,,
Magazine of Medicine,Vol.2/3N1,,2nd Floor,Row V,,
Magazine of the London Royal Free Hospital School of Medicine for Women,Vol.1-115.117-126/NS1-2/3N1-9/4-9,1948-1949,2nd Floor,Row V,,
Magazine of the Royal Free Hospital School of Medicine (London),,1950,2nd Floor,Row V,,
"Magazine, Mt. Sinai Hospital",v1,1956,5th Floor,Row O,7,
Magizin fuer Pharmacie,Vol.7-36,1909,2nd Floor,Row V,,
Magyar Balneologiovi Ertesito,,1930,2nd Floor,Row V,,
Magyar Gyogypedagogia(Budapest),,,2nd Floor,Row V,,
Magyar K Jozsef Nador Mueszaki es Gazdasagtudomanyi Egyetem Egeszsegvizsgalo Intezetenek Tudomanyos Kozlemenyei,Vol.1,1934-1935,2nd Floor,Row V,,
Magyar Kir Orszagos Kozegeszsegugy Intezet Kozlemenyei,,,2nd Floor,Row V,,
Magyar Kiralyi Orszagos Kozegeszsegugyi Intezet Osszegyujtott Kozlemenyei,Vol1-13,1932,2nd Floor,Row V,,
Magyar Korhaz Evfolyam,,,2nd Floor,Row V,,
Magyar Orvosi Archivum,Vol.20/27-29/31-40,,2nd Floor,Row V,,
Magyar Orvosi Nagyhet,Vol.1-3/5-7,1948,2nd Floor,Row V,,
Magyar Orvosi Szemle,Vol.2,,2nd Floor,Row V,,
Magyar Pathologusok Tarsasaga Munkalatai,Vol.12,,2nd Floor,Row V,,
Magyar Paychologiai Szemle,Vol.5,1980-81,2nd Floor,Row V,,
Magyar Reumatologia,v21-22,1980-1981,5th Floor,Row O,7,
Magyar Rooentgen Kozlony,Vol.4N7-8/5N9-10/7-14/15N3-4,,2nd Floor,Row V,,
Magyar Statisztikai Szemle,"Vol.19N1-2,6-9",1898-1899,2nd Floor,Row V,,
Magyar Togaszati Szemle(Budapest),,1960-87,2nd Floor,Row V,,
Magyar Traumatologia Orthopaedia Es Helyreallito Sebeszet,v3-30,1960-1987,5th Floor,Row O,7,
Maharashtra Medical Journal,v8-39,1961-1993,5th Floor,Row O,7,
Mahoning County Medical Society Bulletin,Vol.1N2-11/2-18,,2nd Floor,Row V,,
Maimonides Bulletin,"Vol.3N1-4,6-8/4-7",,2nd Floor,Row V,,
Maine Medical and Surgical Reporter,Vol.1,,2nd Floor,Row V,,
Maine Medical Journal,Vol.1N2-10/2,,2nd Floor,Row V,,
Maine Medical Journal(Portland ME),Vol.21-29,1953;55;63,2nd Floor,Row V,,
Major Hospital Atlas,yearbook,"1955, 1963",5th Floor,Row O,7,
Makedonski Meditsinski Pregled,v12-22,1957-1967,5th Floor,Row O,7,
Makromolekulare Chemie,v175(no.1-12),1974,5th Floor,Row O,7,
Malaria,Vol.1-2,,2nd Floor,Row V,,
Malaria e Malattie dei paesi caldi Roma,Vol.3/6,,2nd Floor,Row V,,
Malariogia,Vol.8N1-6/9N4-6/11-16,1937,2nd Floor,Row V,,
Malati Medici Medicine,,,1st Floor,Row K,,
"Malati, Medici, Medicine",Vol.1N1/6N3,1960-69,2nd Floor,Row V,,
Malattie Cardiovascolari,v1-10,1960-1969,5th Floor,Row O,7,
Malattie del Cuore,Vol.1-7,,2nd Floor,Row V,,
Malayan Medical Journal,"Vol1N3-4/2N2-4/3N1,3/4-12",1923,2nd Floor,Row V,,
Malpractice Press,,"1911-1917,1920-1921,1949",2nd Floor,Row V,,
Malthusian,,1950-52,2nd Floor,Row V,,
Malthusian (The) London,new series,1950-1952,5th Floor,Row O,7,
Man & Civilization,v1-4,1961-1964,5th Floor,Row O,7,
Man & Medicine,v1-5,1975-1980,5th Floor,Row O,7,
Man(Royal Anthropological Institute of Great Britain and Ireland,,1998-2001,2nd Floor,Row V,,
Managed Care,v7-10/v 13-16,1998-2001; 2004-7,5th Floor,Row O,7,* cart in front of Row Q
Managed Care Quarterly,v1-8/v 11-14,1993-2000; vol 2003-6,5th Floor,Row O,7,* cart in front of Row Q
Managed Care Quarterly,"v 6(2-4); v 9(1, 3)",1998; 2002,5th Floor,Row W,3,Unbound Journals
Manchester Vegetarian Lectures,Vol.1-2,1952-53,2nd Floor,Row V,,
Manguinhos; Boletin do Institutio,v1-2,1952-1953,5th Floor,Row O,7,
Manhattan Eye and Ear Hospital Reports,Vol.1-5,,2nd Floor,Row V,,
"Manhattan Eye, Ear and Throat Hospital Reports",Vol.6-15,1982-90,2nd Floor,Row V,,
Manhattan Medicine,v1-9,1982-1990,5th Floor,Row O,7,
Manicomio,Vol.2N1/18-21/22N1-2/23N1-2,,2nd Floor,Row V,,
Manicomio Moderno,Vol.4,1936,2nd Floor,Row V,,
Manicomio(Mexico),,,2nd Floor,Row V,,
Manitoba and West Canada Lancet,"Vol.5/6N1-2,4-12",,2nd Floor,Row V,,
Manitoba Medical Association Review,Vol.14-19,1925-1932,2nd Floor,Row V,,
Manitoba Medical Bulletin,,1940-1949,2nd Floor,Row V,,
Manitoba Medical Review,,1950-69,2nd Floor,Row V,,
Manitoba Medical Review,v30-49,1950-1969,5th Floor,Row O,7,
"Manitoba, NorthWest and British Columbia Lancet","Vol.1N1,6-12/2N1-5,7-11",1960-75,2nd Floor,Row V,,
Mankind Quarterly,v1-15,1960-1975,5th Floor,Row O,8,
Manpower,Vol.1-3/4N1,1983-88,2nd Floor,Row V,,
Manual Medicine,v1-3,1983-1988,5th Floor,Row O,8,
Manual of Nursing,,1949-59,2nd Floor,Row V,,
Manual of Sterilization Disinfection & Related Surgical Techniques,v10-15,1949-1959,5th Floor,Row O,8,
Manuali Pratici Di Medicina Biopsicologica,v5,1950,5th Floor,Row O,8,
Manuali Pratici di Medicina Biopsicologica del Prof Dott Casimiro Frank,Vol.2-3/7-9/11,"1931-1932,1949",2nd Floor,Row V,,
Manufacturing Chemist,,,2nd Floor,Row V,,
Maps Miscellaneous,,1970-74,1st Floor,Raw L,,
Marine Pollution Bulletin,v1-5,1970-1974,5th Floor,Row O,8,
Marineaerztliche Kriegserfahrungen,Vol.1-7,,2nd Floor,Row V,,
Maritime Medical News,Vol.1-22,"1936,1940-1942,1948-1949",2nd Floor,Row V,,
Maroc Medical,v29-55,1950-1975,5th Floor,Row O,8,
Maroc Medical,,1950-75,2nd Floor,Row V,,
Marquette Medical Review,v16-35,1949-1969,5th Floor,Row O,8,
Marquette Medical Review,Vol.1-14,1949-69,2nd Floor,Row V,,
Marquette University Bulletin,,1941-1949,2nd Floor,Row V,,
Marriage & Family Living,v12-23,1950-1961,5th Floor,Row O,8,
Marriage & Family Living,,1950-61,2nd Floor,Row V,,
Marriage Hygiene,,1949,AR,"Wall, Row III",,
Marseille Chirurgical,v2-24,1950-1972,5th Floor,Row O,8,
Marseille Chirurgical,,1950-72,2nd Floor,Row V,,
Marseille Medical,v87-112,1950-1975,5th Floor,Row O,8,
Marseille Medical,,1950-73,2nd Floor,Row V,,
Martin's Chemist's and Druggist's Bulletin,,,2nd Floor,Row V,,
Mary Fletcher Hospital Bulletin,Vol.1-3,1955-60,2nd Floor,Row V,,
Mary Immaculate Hospital News,v1-7,1955-1960,5th Floor,Row O,8,
Maryland and Virginia Medical Journal,Vol.14-16,1994,2nd Floor,Row W,,
Maryland Med. J.,,,AR,SHELF RANGE 6 - Side A,,
Maryland Medical & Surgical Journal & Official Organ of the Medical Dept. Army,Vol.1-3,,2nd Floor,Row W,,
Maryland Medical Journal,v34-48,1985-1999,5th Floor,Row O,9,
Maryland Medical Journal,Vol.1-46,,2nd Floor,Row V,,
Maryland Medical Journal,Vol.47-61,1904-1918,2nd Floor,Row W,,
Maryland Medical Recorder,,,2nd Floor,Row W,,
Maryland Pharmacist,"Vol.12,14,18-20",,2nd Floor,Row W,,
Maryland Psychiatric Quarterly,"Vol.1-2/3N1,3-4/4-5/6N1-2,4/7-12",1952-84,2nd Floor,Row W,,
Maryland State Medical Journal,v1-33,1952-1984,5th Floor,Row O,8,
Mas Bulletin,Vol.1,,2nd Floor,Row W,,
Massachuetts Health Journal,Vol.5-31,,2nd Floor,Row W,,
Massachuetts Journal of Osteopathy,Vol.7,,2nd Floor,Row W,,
Massachuetts Medical Journal,Vol.6-37,,2nd Floor,Row W,,
Massachuetts Society for Social Hygiene,Vol.1-3,,2nd Floor,Row W,,
Massachusetts Association of Occupational Therapy,Vol.5-21,,2nd Floor,Row W,,
Massachusetts Board of State Charities Annual Report(10th -15th),,,2nd Floor,Row W,,
Massachusetts Eclectic Medical Journal,Vol.1-5,,2nd Floor,Row W,,
Massachusetts General Hospital News,Vol.3,1951-53,2nd Floor,Row W,,
Massachusetts Health Journal,v32-33,1951-1953,5th Floor,Row O,9,
Massachusetts Medicine,v1-2,1986-1987,5th Floor,Row O,9,
Mastercraft X-Ray Bulletin,Vol.1,1969-96,2nd Floor,Row W,,
Materia Medica Polona,v1-28,1969-1996,5th Floor,Row O,9,
Materialy I Prace Antropologiczne,N/A,1955-1961,5th Floor,Row O,9,
Materialy PO Evolyuitsionnoy Fiziologii,v1-4,1956-1960,5th Floor,Row O,9,
Materiaux pour L'Etude des Calamites,,1968-73,2nd Floor,Row W,,
Maternal & Child Health,v1-6,1968-1973,5th Floor,Row O,9,
Materniade e Infancia,Vol.5-7,1959-60,2nd Floor,Row W,,
Maternidad Obrera,v1-2,1959-1960,5th Floor,Row O,9,
Maternidade E Infancia,v9; v13,"1950, 1954",5th Floor,Row O,9,
Maternita ed Infanzia,Vol.1-16,1959-60,2nd Floor,Row W,,
Maternite Heureuse,N/A,1959-1960,5th Floor,Row O,9,
Maternity and Child Welfare,Vol.1-18,1967,2nd Floor,Row W,,
Mathematical Biosciences,N/A,1967,5th Floor,Row O,9,
Mathematische und Naturwissenschaftliche Berichte aus Ungarn,Vol.1-9,1886/1889,2nd Floor,Row W,,
Mathematische und Naturwissenschaftliche Mittheilungen,,,2nd Floor,Row W,,
Mathews Medical Quarterly,Vol.1-3,,2nd Floor,Row W,,
Mathews Quarterly Journal of Rectal and Gastro-Intestinal Diseases,Vol.4-5,,2nd Floor,Row W,,
Mature Medicine,Vol.4-27,1958,2nd Floor,Row W,,
Mavi Newsletter,v1,1958,5th Floor,Row O,9,
Max Planck-gesellschaft Berichte und Mitteilungen,N/A,1975-1991,5th Floor,Row O,10,
Mayo Alumnus,v1-4,1965-1968,5th Floor,Row O,9,
Mayo Alumnus,v1-4,1965-1968,5th Floor,Row O,9,
Mayo Clinic Proceedings,v39-68,1964-1993,5th Floor,Row O,9,
Mayo Clinic Proceedings,67-82,1964-93,7th Floor,Row F,,
Mayo Clinic Proceedings,v69-82,,7th Floor,Row F,,
McCaskeys Clinical Stidies,Vol.1,,2nd Floor,Row V,,
McGill Medical Journal,v19-42,1950-1973,5th Floor,Row O,7,
McGill Medical Journal,Vol.9-18,,2nd Floor,Row V,,
McGill Medical Journal,Vol.12-13,1950-73,2nd Floor,Row W,,
McGill News,Vol.10,,2nd Floor,Row V,,
McGregor Clinical Bulletin,Vol.6-7,,2nd Floor,Row V,,
McNeil-O-Gram,Vol.3,,2nd Floor,Row V,,
McPike's Bi-Monthly,Vol.3,1990-1993,2nd Floor,Row V,,
MD,v31-38,1987-1994,5th Floor,Row O,10,
MD,,1987-94,AR,SHELF RANGE 6 - Side A,,
MD (Chicago),,,2nd Floor,Row W,,
MD (New York),Vol.1,1951-55,2nd Floor,Row W,,
MD AN International Journal for Interns & Students of Medicine Chicago,v6-10,1951-1955,5th Floor,Row O,10,
MD Journal,v2-9,1953-1959,5th Floor,Row O,10,
MD Medical News Magazine,v1-30,1957-1986,5th Floor,Row O,10,
"MD; Medical Journal for Residents, Interns & Medical Students",v11(no.2-5),1956,5th Floor,Row O,10,
Mdougall General Hospital,Vol.1,,2nd Floor,Row V,,
MDS Bulletin,Vol.8-15,1951-53,2nd Floor,Row W,,
Mead Abstracts,v5-7,1951-1953,5th Floor,Row O,10,
Meadobook Staff Journal,v1-5,1968-1972,5th Floor,Row O,10,
Mead's Medical Sports Review,,1950-51,2nd Floor,Row W,,
Meads Short Abstracts,v4-5,1950-1951,5th Floor,Row O,10,
Measurement,,,2nd Floor,Row W,,
Meat and Live Stock Digest,Vol.10,,2nd Floor,Row W,,
Mecamco Dental (Buenos Aires),Vol.9-10,,2nd Floor,Row W,,
Mechanical Vibratory Stimulation,"Vol.1N1,6,12/2N1-7,10-12/3N1-2,8",1953-62,2nd Floor,Row W,,
Medcial Radiography,Vol.22-25,1930,2nd Floor,Row X,,
Meddelande Fraan Centralanstalten foer Foersoeksvaesendet Jordbruksomradet,,,2nd Floor,Row W,,
Meddelande Fraan Svenska Nationalforeningen  Tuberkulos Andra Folksjukdomar,Vol.1-20/36,,2nd Floor,Row W,,
Meddelanden for Helso-Och Sjukvard,Vol.5/7,1913,2nd Floor,Row W,,
Meddelanden fran Svensk K. Vetens Kapsakamediens Nobel Institut,,,2nd Floor,Row W,,
Meddelanden fran Svensk Sjukhusforeningen,Vol.1,1957-67,2nd Floor,Row W,,
Meddelanden Fran Veterinarlog Skolan Stockholm,v32-41,1957-1967,5th Floor,Row O,10,
Meddelander fran Veterinarhogskolan (Stockholm),,,2nd Floor,Row W,,
Meddelelser fra Carlsberg Laboratoriet,Vol.1-4,1972-73,2nd Floor,Row W,,
Meddelelser Fra Dansk Medicinsk Selskab,v1,1972,5th Floor,Row O,10,
Meddelelser fra Kristiania Kommunale Sykehuser,Vol.1-3,,2nd Floor,Row W,,
Meddelelser fra Olso Kommunale Sykehuser,Vol.4-5,,2nd Floor,Row W,,
Meddelelser fra Universitetets Psykiatriske Laboratorium,Vol.3/6,1901-1907,2nd Floor,Row W,,
Meddelelser fra Vejlefjord Sanatorium,,1891-1894,2nd Floor,Row W,,
Medecin,v31-33,1950-1952,5th Floor,Row O,10,
Medecin,,,2nd Floor,Row W,,
Medecin,Vol.16N1-2,1950-51,2nd Floor,Row W,,
Medecin Belce,v46-47,1950-1951,5th Floor,Row O,10,
Medecin Belge,Vol.45,,2nd Floor,Row W,,
Medecin d Usine,Vol.1-11,1922,2nd Floor,Row W,,
Medecin d'Alsave et de Lorraine,,1951;60,2nd Floor,Row W,,
Medecin de France,v57;v66,"1951, 1960",5th Floor,Row O,10,
Medecin D'Usine,v13-19,1951-1957,5th Floor,Row O,10,
Medecin Francais,v10-12,1950-1952,5th Floor,Row O,10,
Medecin Francais,Vol.5-9/14,1950-52,2nd Floor,Row W,,
Medecin Practicien,,1907-,2nd Floor,Row W,,
Medecin Practicien,,1934,2nd Floor,Row W,,
Medecin Stomatologiste,,,2nd Floor,Row W,,
Medecine,v31-40,1950-1959,5th Floor,Row P,1,
Medecine,Vol.1-30,1950-59,2nd Floor,Row W,,
Medecine & Chirurgie Digestives,v1-20,1972-1991,5th Floor,Row P,1,
Medecine Aeronautique,v5-14,1950-1959,5th Floor,Row P,1,
Medecine Aeronautique,Vol.1-4,1950-81,2nd Floor,Row W,,
Medecine Aeronautique et Spatiale,v15 - v20,1976-1981,5th Floor,Row P,1,
Medecine Contamporaine,,1956-82,2nd Floor,Row W,,
Medecine D'Afrique Noire,v2-29,1956-1982,5th Floor,Row P,1,
Medecine Dans Le Monde,v35-40; v42(1),1959-1964,5th Floor,Row P,1,
Medecine de France,N/A,1969-1970,5th Floor,Row P,1,
Medecine des Accidents du Travail,Vol.1-9,1893,2nd Floor,Row W,,
Medecine des Ferments,,,2nd Floor,Row W,,
Medecine du Travail,Vol.1N3/10-11/12N1-2,1952-62,2nd Floor,Row W,,
Medecine Du Travail et la Prevention Dans Les Industries DuBatiment et des Travaux Publics…,,"1952-1953, 1955, 1958, 1960, 1962",5th Floor,Row P,1,
Medecine Education Physique et Sport (Paris),,1973-1980,2nd Floor,Row W,,
Medecine Et Armees,v 1-7,1973-1979,5th Floor,Row W,5,Bound Journals moved from floor
Medecine et Famille (Paris),,1952,2nd Floor,Row W,,
Medecine Et Laboratoire,v2,1952,5th Floor,Row P,1,
Medecine et Medecins,Vol.1,,2nd Floor,Row W,,
Medecine Homoeopathique des Familles,Vol.1-2,1888-1897,2nd Floor,Row W,,
Medecine Hypodermique,,,2nd Floor,Row W,,
Medecine Infantile,Vol.1-2,,2nd Floor,Row W,,
Medecine Infantile,Vol.1-54,1953-91,2nd Floor,Row W,,
Medecine Infantile (The),v60-98,1953-1991,5th Floor,Row P,1,
Medecine Internationale,"Vol.12/13N1-4,6-12/14N1-10/22N2-8/23N2-7,9-11/24N3-4,6-7,10/37-46/47N1-7",,2nd Floor,Row W,,
Medecine Internationale Illustree,Vol.9-11,1975-91,2nd Floor,Row W,,
Medecine Interne,v13-29,1975-1991,5th Floor,Row P,1,
Medecine Legale Et Dommage Corporel,v1-7,1968-1974,5th Floor,Row P,1,
Medecine Moderne,Vol.4-23,,2nd Floor,Row W,,
Medecine Nouvelle,Vol.12,,2nd Floor,Row W,,
Medecine Orientale et les Archives Orientales de Medecine et Dechirurgie,"Vol.1-9/10N1-3,5-20/11/12N1-4",1928,2nd Floor,Row W,,
Medecine Pratique (Paris),,1908-1938,2nd Floor,Row W,,
Medecine Scolaire,,1976-81,2nd Floor,Row W,,
Medecine Tropicale,v9-51,1949-1991,5th Floor,Row P,1,
Medecine Tropicale,,1949-91,2nd Floor,Row W,,
Medecinische Monatschrift,Vol.1,,2nd Floor,Row W,,
Mededelingen Rijks-Institut voor Pharmaio-Therapeutisch Onderzoek,Vol.1-31,1903-1920,2nd Floor,Row W,,
Mededelingen uit het geneeskundig Laboratorium te Weltevreden,,,2nd Floor,Row W,,
Mededelingen uit het geneeskundig Laboratorium voor Physiologsche Chemie,Vol.7-11,1958-60,2nd Floor,Row W,,
Mededelingen Uit Het Laboratorium voor Physiologische chemie der Universitetit,"v12, 17-19",1950-1951; 1958-1960,5th Floor,Row P,2,
Mededelingen van den Burgrlijken Geneeskundigen Dienst in Nederlandsch,Vol.1-,,2nd Floor,Row W,,
Mededelingen van het Pathologisch Laboratorium te Medan-Sumatra,Vol.1-16,1951-58,2nd Floor,Row W,,
Mededelingen Van Het Rijks Instituut voor Pharmaco-Therapeutisch Onderzoek,v40; v43-46,"1951, 1954, 1956- 1958",5th Floor,Row P,2,
Medentian,ser.5-4,1951,5th Floor,Row P,2,
Medentian,Vol.3/8-9/11-12,1951,2nd Floor,Row W,,
Medica,v9-13,1950-1954,5th Floor,Row P,2,
Medica,Vol.1-8,1950-54,2nd Floor,Row W,,
Medica Judaica,v1(1-4); v2(1),1971-1972,5th Floor,Row P,2,
Medica Latino America,,,2nd Floor,Row W,,
Medica Revista Mensual de Medicina y Cirirgia,Vol.1-10,1993-1995,2nd Floor,Row W,,
Medical  and War,,1955-57,AR,SHELF RANGE 6 - Side A,,
Medical Abstracts,v1-3,1955-1957,5th Floor,Row P,2,
Medical Adjuvant,,1950,2nd Floor,Row W,,
Medical Advance,v5,,1st Floor,Row K,,oversize
